Azwjdt_case, Azwj, Latitude, Longitude, NDay, TT, AzwjdtA
63, -45, 35, 135, 174, 13.2, 102.641235125902
64, -45, 35, 135, 174, 15, 130.672969087065
65, -45, 35, 135, 174, 17, 146.887091699885
66, -45, 35, 135, 174, 19, 162.313533220734
67, -22.5, 35, 135, 174, 5, -95.2881809123933
68, -22.5, 35, 135, 174, 7, -79.8048070188704
69, -22.5, 35, 135, 174, 9, -63.7157634355353
70, -22.5, 35, 135, 174, 10.8, -36.6562048395117
71, -22.5, 35, 135, 174, 11.5, -10.4533829998425
72, -22.5, 35, 135, 174, 12, 20.5602859220057
73, -22.5, 35, 135, 174, 12.5, 52.4580333795592
74, -22.5, 35, 135, 174, 13.2, 80.1412351259015
75, -22.5, 35, 135, 174, 15, 108.172969087065
76, -22.5, 35, 135, 174, 17, 124.387091699885
77, -22.5, 35, 135, 174, 19, 139.813533220734
78, 0, 35, 135, 174, 5, -117.788180912393
79, 0, 35, 135, 174, 7, -102.30480701887
80, 0, 35, 135, 174, 9, -86.2157634355353
81, 0, 35, 135, 174, 10.8, -59.1562048395117
82, 0, 35, 135, 174, 11.5, -32.9533829998425
83, 0, 35, 135, 174, 12, -1.93971407799426
84, 0, 35, 135, 174, 12.5, 29.9580333795592
85, 0, 35, 135, 174, 13.2, 57.6412351259015
86, 0, 35, 135, 174, 15, 85.6729690870647
87, 0, 35, 135, 174, 17, 101.887091699885
88, 0, 35, 135, 174, 19, 117.313533220734
89, 22.5, 35, 135, 174, 5, -140.288180912393
90, 22.5, 35, 135, 174, 7, -124.80480701887
91, 22.5, 35, 135, 174, 9, -108.715763435535
92, 22.5, 35, 135, 174, 10.8, -81.6562048395117
93, 22.5, 35, 135, 174, 11.5, -55.4533829998425
94, 22.5, 35, 135, 174, 12, -24.4397140779943
95, 22.5, 35, 135, 174, 12.5, 7.4580333795592
96, 22.5, 35, 135, 174, 13.2, 35.1412351259015
97, 22.5, 35, 135, 174, 15, 63.1729690870647
98, 22.5, 35, 135, 174, 17, 79.387091699885
99, 22.5, 35, 135, 174, 19, 94.8135332207338
100, 45, 35, 135, 174, 5, -162.788180912393
101, 45, 35, 135, 174, 7, -147.30480701887
102, 45, 35, 135, 174, 9, -131.215763435535
103, 45, 35, 135, 174, 10.8, -104.156204839512
104, 45, 35, 135, 174, 11.5, -77.9533829998425
105, 45, 35, 135, 174, 12, -46.9397140779943
106, 45, 35, 135, 174, 12.5, -15.0419666204408
107, 45, 35, 135, 174, 13.2, 12.6412351259015
108, 45, 35, 135, 174, 15, 40.6729690870647
109, 45, 35, 135, 174, 17, 56.887091699885
110, 45, 35, 135, 174, 19, 72.3135332207338
111, 67.5, 35, 135, 174, 5, 174.711819087607
112, 67.5, 35, 135, 174, 7, -169.80480701887
113, 67.5, 35, 135, 174, 9, -153.715763435535
114, 67.5, 35, 135, 174, 10.8, -126.656204839512
115, 67.5, 35, 135, 174, 11.5, -100.453382999843
116, 67.5, 35, 135, 174, 12, -69.4397140779943
117, 67.5, 35, 135, 174, 12.5, -37.5419666204408
118, 67.5, 35, 135, 174, 13.2, -9.85876487409849
119, 67.5, 35, 135, 174, 15, 18.1729690870647
120, 67.5, 35, 135, 174, 17, 34.387091699885
121, 67.5, 35, 135, 174, 19, 49.8135332207338
122, 90, 35, 135, 174, 5, 152.211819087607
123, 90, 35, 135, 174, 7, 167.69519298113
124, 90, 35, 135, 174, 9, -176.215763435535
125, 90, 35, 135, 174, 10.8, -149.156204839512
126, 90, 35, 135, 174, 11.5, -122.953382999843
127, 90, 35, 135, 174, 12, -91.9397140779943
128, 90, 35, 135, 174, 12.5, -60.0419666204408
129, 90, 35, 135, 174, 13.2, -32.3587648740985
130, 90, 35, 135, 174, 15, -4.32703091293534
131, 90, 35, 135, 174, 17, 11.887091699885
132, 90, 35, 135, 174, 19, 27.3135332207338
133, 112.5, 35, 135, 174, 5, 129.711819087607
134, 112.5, 35, 135, 174, 7, 145.19519298113
135, 112.5, 35, 135, 174, 9, 161.284236564465
136, 112.5, 35, 135, 174, 10.8, -171.656204839512
137, 112.5, 35, 135, 174, 11.5, -145.453382999843
138, 112.5, 35, 135, 174, 12, -114.439714077994
139, 112.5, 35, 135, 174, 12.5, -82.5419666204408
140, 112.5, 35, 135, 174, 13.2, -54.8587648740985
141, 112.5, 35, 135, 174, 15, -26.8270309129353
142, 112.5, 35, 135, 174, 17, -10.612908300115
143, 112.5, 35, 135, 174, 19, 4.81353322073385
144, 135, 35, 135, 174, 5, 107.211819087607
145, 135, 35, 135, 174, 7, 122.69519298113
146, 135, 35, 135, 174, 9, 138.784236564465
147, 135, 35, 135, 174, 10.8, 165.843795160488
148, 135, 35, 135, 174, 11.5, -167.953382999843
149, 135, 35, 135, 174, 12, -136.939714077994
150, 135, 35, 135, 174, 12.5, -105.041966620441
151, 135, 35, 135, 174, 13.2, -77.3587648740985
152, 135, 35, 135, 174, 15, -49.3270309129353
153, 135, 35, 135, 174, 17, -33.112908300115
154, 135, 35, 135, 174, 19, -17.6864667792662
155, 157.5, 35, 135, 174, 5, 84.7118190876067
156, 157.5, 35, 135, 174, 7, 100.19519298113
157, 157.5, 35, 135, 174, 9, 116.284236564465
158, 157.5, 35, 135, 174, 10.8, 143.343795160488
159, 157.5, 35, 135, 174, 11.5, 169.546617000157
160, 157.5, 35, 135, 174, 12, -159.439714077994
161, 157.5, 35, 135, 174, 12.5, -127.541966620441
162, 157.5, 35, 135, 174, 13.2, -99.8587648740985
163, 157.5, 35, 135, 174, 15, -71.8270309129353
164, 157.5, 35, 135, 174, 17, -55.612908300115
165, 157.5, 35, 135, 174, 19, -40.1864667792662
166, 180, 35, 135, 174, 5, 62.2118190876067
167, 180, 35, 135, 174, 7, 77.6951929811296
168, 180, 35, 135, 174, 9, 93.7842365644647
169, 180, 35, 135, 174, 10.8, 120.843795160488
170, 180, 35, 135, 174, 11.5, 147.046617000157
171, 180, 35, 135, 174, 12, 178.060285922006
172, 180, 35, 135, 174, 12.5, -150.041966620441
173, 180, 35, 135, 174, 13.2, -122.358764874098
174, 180, 35, 135, 174, 15, -94.3270309129353
175, 180, 35, 135, 174, 17, -78.112908300115
176, 180, 35, 135, 174, 19, -62.6864667792662
