Aoh0m_case, XX,  YY,  X1,  X2,  X3,  X1yp,  X1ym,  X3yp,  X3ym,  Y1,  Y2,  Y3,  Y1xp,  Y1xm,  Y3xp,  Y3xm,  Zxp,  Zxm,  Zyp,  Zym,  Azw,  hs, Aoh0p
19, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 45, 60, 1.04409500286133
20, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 30, 60, 0.980351543570138
21, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 60, 0.995838262141907
22, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 89, 85, 2.77994883202137
23, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 85, 85, 2.78141592070401
24, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 45, 85, 2.8975171941721
25, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 30, 85, 2.98069383225871
26, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 85, 3.17449089829093
27, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 89, 89, 3.10138560086997
28, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 85, 89, 3.1016783031148
29, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 45, 89, 3.12484193580687
30, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 30, 89, 3.14143669860013
31, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 89, 3.1801015979615
