Asf0m_case, XX,  YY,  X1,  X2,  X3,  X1yp,  X1ym,  X3yp,  X3ym,  Y1,  Y2,  Y3,  Y1xp,  Y1xm,  Y3xp,  Y3xm,  Zxp,  Zxm,  Zyp,  Zym,  Azw,  hs, Asf0p
11, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 10, 0.0265414204777798
12, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 89, 30, 2.9176498794248
13, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 85, 30, 2.91636882967876
14, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 45, 30, 1.43400966225857
15, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 30, 30, 0.8396212514735
16, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 30, 0.0255948915216751
17, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 89, 60, 2.21894963827439
18, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 85, 60, 2.21510648903628
19, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 45, 60, 1.21322898677571
20, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 30, 60, 0.735544242947583
21, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 60, 0.022869470014747
22, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 89, 85, 0.385805607034463
23, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 85, 85, 0.384396045601409
24, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 45, 85, 0.272847316921794
25, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 30, 85, 0.192932188023956
26, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 85, 0.00673426192045695
27, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 89, 89, 0.0769729659713174
28, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 85, 89, 0.0766917411206603
29, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 45, 89, 0.0544363971333119
30, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 30, 89, 0.0384923455563288
31, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, 1, 89, 0.00134356811874683
