Aoh0p_case, XX,  YY,  X1,  X2,  X3,  X1yp,  X1ym,  X3yp,  X3ym,  Y1,  Y2,  Y3,  Y1xp,  Y1xm,  Y3xp,  Y3xm,  Zxp,  Zxm,  Zyp,  Zym,  Azw,  hs, Aoh0p
18, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -85, 60, 6.38918763909707
19, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -45, 60, 3.64422836482567
20, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -30, 60, 3.10335154357014
21, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -1, 60, 2.83469026044229
22, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -89, 85, 8.62784883202137
23, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -85, 85, 8.62931592070401
24, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -45, 85, 8.7454171941721
25, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -30, 85, 8.82859383225871
26, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -1, 85, 9.02239089829093
27, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -89, 89, 8.94928560086997
28, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -85, 89, 8.9495783031148
29, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -45, 89, 8.97274193580687
30, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -30, 89, 8.98933669860013
31, -1.05, -1.025, 1.1, 2.1, 0.9, 1.05, 1.07, 0.88, 0.85, 0.98, 2.05, 1.02, 0.96, 0.92, 1.01, 0.97, 0.48, 0.52, 0.55, 0.6, -1, 89, 9.0280015979615
